ENU,JPN,engjpn25142,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,1188,"Stating from the proposal of a machine (perceptron), with the basis of the learning rules of synaptic connections, the trend was shown to reach toward the error back propagation method, which was the learning method based on the hierarchical neural networks.",77,2021-05-16 02:30:38.729000,2021-05-16 02:30:51.019000,0:00:12.290000
ENU,JPN,engjpn25136,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,483,"In the case of both ions, the frequency increased linearly with increase of ion‐fluence, and C ion ( LET800keV/μm in the cell surface ) was more effective than He ion ( the same 180keV/μm ).",70,2021-05-15 09:24:38.639000,2021-05-15 09:25:08.196000,0:00:29.557000
ENU,JPN,engjpn25135,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,563,The Appendix I of Washington Treat lists all the species of sea turtles.,68,2021-05-15 09:00:21.274000,2021-05-15 09:00:26.975000,0:00:05.701000
ENU,JPN,engjpn2511d,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,164,"Magnetic fluid is filled in a horizontal tube of closed circuit, and it equipped with heater and electromagnetic field outside, and the probes for flow velocity, temperature difference and pressure difference are inserted in the tube.",80,2021-05-17 23:26:17.232000,2021-05-17 23:26:46.074000,0:00:28.842000
ENU,JPN,engjpn25101,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,1049,"This reagent is studied on the relations with the pyruvate to lactate method which is now widely practiced by many facilities, and with the reagents which are manufactured by other companies and conformed to JSCC recommendation.",85,2021-05-14 14:42:55.448000,2021-05-14 14:43:37.237000,0:00:41.789000
ENU,JPN,engjpn25119,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,1313,"Based on such design guidelines, engine and television of the DLP TMsystem are produced experimentally.",73,2021-05-18 07:49:08.554000,2021-05-18 07:49:25.891000,0:00:17.337000
ENU,JPN,engjpn25132,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,1329,"And, FCLED large images are used at speedboat race field, turf and Aichi international exposition, and the FCLED large imaging technique steadily evolves, and the market are expanding.",77,2021-05-15 08:57:45.400000,2021-05-15 08:57:57.156000,0:00:11.756000
ENU,JPN,engjpn25112,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,244,Development advances already on top data of II‐VI group compound semiconductor laser compared to III‐V group laser without inferiority regarding to static characteristics such as thresholds.,78,2021-05-19 09:54:58.674000,2021-05-19 09:55:22.797000,0:00:24.123000
ENU,JPN,engjpn25103,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,145,The sphericity and the film thickness uniformity over 98% as well as the smoothness of 0.2μm or less were realized.,53,2021-05-14 04:54:10.251000,2021-05-14 04:54:19.320000,0:00:09.069000
ENU,JPN,engjpn25112,NTT_0422123316_aspec-je.test.en.leca-search.result.jpn.txt,709,"Following are described: Case of recurrence sites in thoracic esophageal carcinectomy, test methods of lymph node recurrence and selection of the therapy for lymph node recurrence.",80,2021-05-19 10:52:14.991000,2021-05-19 10:52:26.997000,0:00:12.006000
